TRAT;COT;Fe;Cu;Zn;Mn;P;pH;K;Na;Ca;Mg
D_0;8,5;70,4;1,19;1,7;82,3;24;6,1;0,13685;0,069;1,617228;0,0388992
D_0;12;62,7;1,25;2,54;76,93;27;6,2;0,13294;0,0805;1,87374;0,0376836
D_0;10;83,6;1,14;2,21;68,8;26;6,3;0,1173;0,0782;1,76;0,04
D_0;7,5;51,7;0,84;3,25;76,6;28;6,6;0,14;0,0782;1,919832;0,0510552
D_0;9,5;67,1;1,11;3;80;23;6,3;0,16813;0,0759;1,610214;0,0352524
D_30;9,5;66,28;0,78;2,5;86,4;29;6,7;0,22678;0,0736;1,687368;0,218808
D_30;12,5;62,7;0,56;2,77;75,3;31;6,7;0,32062;0,0782;1,657308;0,26
D_30;8,1;70,4;0,86;2,22;78,3;40;6,5;0,32062;0,0713;1,921836;0,2200236
D_30;7,6;84,7;0,71;1,82;86,6;31,75;6,8;0,12903;0,0713;1,541076;0,2820192
D_30;9,425;71,02;0,65;1,77;64,9;27;6,9;0,12903;0,0713;1,625244;0,3306432
D_40;7,5;62,7;0,56;2,46;84,3;37;7;0,13294;0,0759;1,799592;0,2686476
D_40;9,8;54,45;0,62;2,21;82,28;32;6,9;0,14;0,0759;1,92384;0,2722944
D_40;9,5;52,8;0,55;2,71;85,5;24;6,8;0,11339;0,0713;1,949892;0,2601384
D_40;8,5;50,6;0,46;2,07;80,7;30;6,8;0,14858;0,0805;1,935864;0,2479824
D_40;8,825;51,7;0,62;2,36;78,6;36;6,9;0,12512;0,0782;2,006004;0,309978
D_50;13,2;57,2;0,36;1,56;91,5;60;7;0,33235;0,0667;1,601196;0,2686476
D_50;10,3;58,3;0,39;1,97;100,2;60;6,8;0,2;0,0529;1,94388;0,27351
D_50;9,5;48,4;0,24;1,41;77,03;60;7;0,14858;0,069;2,004;0,28
D_50;11;54,18;0,36;1.60;89,58;55;7;0,2;0,0644;1,8;0,28
D_50;11;52,8;0,45;1,65;89,58;40;7;0,13;0,0506;1,661316;0,3087624
